"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
Ultimate Annual Budget Spreadsheet Excel Google Sheets Budget Template Monthly Budget Tracker Financial Planner Bill Tracker Debt Tracker,PrioriDigitalStudio,-10%,$14.144,709,3.0,$20,"Oct 10, 2024",1.369,13.081,702.302,download,4.8,137,N/A,13,No,No,No,N/A,Yes,237,2007_2009,i_did,No,167.286,"Mar 18, 2023",CA,21,Personal Finance Templates,30
"Budget Spreadsheet Google Sheets | Bill Calendar  Paycheck Tracker | Automated, Beginner-Friendly Expense Tracker & Financial Planner",ForgedByChampions,-45%,$858,343,8.2,$3,"Feb 16, 2025",233,819,88.434,download,4.8,133,8,13,No,No,No,N/A,Yes,13,2020_2026,i_did,Yes,13.473,"Jan 07, 2025",US,17,Personal Finance Templates,7
Biweekly Paycheck Budget Spreadsheet Bill Calendar Weekly Monthly Budget Planner Expense Savings Debt Tracker Google Sheets Excel Template,JrenDigital,+13%,$5.549,266,3.0,$21,"Jan 27, 2024",296,4.065,146.293,download,4.8,138,2,13,No,No,No,N/A,Yes,66,2007_2009,i_did,No,79.561,"Feb 23, 2023",AU,29,Personal Finance Templates,4
Wedding Planning Spreadsheet Budget Tracker Guest List Timeline Checklist Itinerary Seating Plan Venue Vendor Event Organizer Google Sheets,SheetDesignLab,+14%,$677,201,6.7,$3,"Jan 3, 2026",31,170,11.551,download,4.8,139,-1,11,No,No,No,N/A,Yes,42,2020_2026,i_did,No,3.541,"Sep 07, 2025",US,6,Personal Finance Templates,9
ADHD Adult Digital Budget Planner Google Sheets Monthly Bill Tracker Personal Income Expense  Weekly Paycheck Journal Debt Payoff Tool 2026,CustomGroupGifts,-10%,$339,175,6.6,$2,"May 6, 2025",283,1.353,83.200,download,4.7,139,-1,13,No,No,No,N/A,No,12,2007_2009,i_did,No,8.145,"Mar 14, 2025",US,14,Personal Finance Templates,466
Ultimate Finance Dashboard: Annual Budget Spreadsheet for Google Sheets (Digital Download),AbbyOrganizes,-10%,$3.576,149,6.5,$24,"Jun 5, 2025",177,1.076,45.186,download,4.9,90,N/A,13,No,No,No,N/A,Yes,16,2007_2009,i_did,No,8.244,"Jun 05, 2025",US,13,Personal Finance Templates,6
"French Budget Planner Google Sheets Budget mensuel français, Monthly Budget Planner français, Monthly Budget Spreadsheet in French",Heart2HeartbyYoli,+500%,$842,145,6.4,$6,"Oct 15, 2025",20,148,7.527,download,4.8,130,2,12,No,No,No,N/A,Yes,29,2007_2009,i_did,No,1.935,"Sep 21, 2025",KZ,9,Personal Finance Templates,7
"Simple Budget Spreadsheet: Automated Expense Tracker (Google Sheets, Digital Download)",ForgedByChampions,+100%,$250,125,6.1,$2,"Jan 5, 2025",76,236,38.695,download,4.7,86,2,13,No,No,No,N/A,Yes,13,2020_2026,i_did,Yes,13.473,"Jan 07, 2025",US,18,Personal Finance Templates,2
"Simple Budget Spreadsheet Google Sheets: Financial Planner & Spending Tracker – Budget Weekly, Biweekly or Monthly",HayeCreativesCo,+56%,$702,123,1.9,$6,"May 14, 2026",23,249,10.460,download,5.0,114,1,13,No,No,No,N/A,Yes,41,2020_2026,i_did,No,93.284,"Jan 12, 2022",NL,2,Personal Finance Templates,0
Expense Tracker Google Sheets Monthly Spending Tracker Spreadsheet Expense Tracker Template Budget Spreadsheet Personal Finance Planner,HeyMorning,+20%,$611,110,4.9,$6,"Jul 6, 2024",31,309,11.470,download,4.8,135,-1,13,No,No,No,N/A,No,136,2007_2009,i_did,No,56.887,"Apr 02, 2024",US,24,Personal Finance Templates,1
