"Title","Shop","6mo Trend","6mo Revenue","6mo Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
Biweekly Paycheck Budget Spreadsheet Bill Calendar Weekly Monthly Budget Planner Expense Savings Debt Tracker Google Sheets Excel Template,JrenDigital,+1%,$29.592,1.419,3.0,$21,"Jan 27, 2024",296,4.065,146.293,download,4.8,138,2,13,No,No,No,N/A,Yes,66,2007_2009,i_did,No,79.561,"Feb 23, 2023",AU,29,Personal Finance Templates,4
"Budget Spreadsheet Google Sheets | Bill Calendar  Paycheck Tracker | Automated, Beginner-Friendly Expense Tracker & Financial Planner",ForgedByChampions,+97%,$12.007,4.803,8.2,$3,"Feb 16, 2025",233,819,88.434,download,4.8,133,8,13,No,No,No,N/A,Yes,13,2020_2026,i_did,Yes,13.473,"Jan 07, 2025",US,17,Personal Finance Templates,7
Simple Budget Planner Spreadsheet | Monthly Paycheck Budget | Google Sheets & Excel Template |  Financial Planner | Yearly Budget,PlanDigitalCrew,-49%,$5.586,835,4.9,$7,"Sep 20, 2024",328,1.204,170.352,download,4.6,129,-1,13,No,No,No,N/A,Yes,18,2007_2009,i_did,No,13.765,"Sep 18, 2023",GB,22,Personal Finance Templates,11
Simple Budget Spreadsheet: Google Sheets Budgeting Planner (Digital Download),AbbyOrganizes,-10%,$5.513,613,7.5,$9,"Jun 5, 2025",79,398,17.428,download,4.9,77,2,13,No,No,No,N/A,Yes,16,2007_2009,i_did,No,8.244,"Jun 05, 2025",US,13,Personal Finance Templates,3
Co-Parenting Digital Planner Google Sheets Excel Custody Schedule Child Support Shared Expenses and Visitation Tracker for Divorced Parents,PrioriDigitalStudio,-27%,$4.174,293,2.7,$14,"Aug 25, 2025",45,586,25.374,download,4.6,139,-1,13,No,No,No,N/A,Yes,237,2007_2009,i_did,No,167.286,"Mar 18, 2023",CA,10,Personal Finance Templates,1
Expense Tracker Google Sheets Monthly Spending Tracker Spreadsheet Expense Tracker Template Budget Spreadsheet Personal Finance Planner,HeyMorning,+133%,$2.139,383,4.9,$6,"Jul 6, 2024",31,309,11.470,download,4.8,135,-1,13,No,No,No,N/A,No,136,2007_2009,i_did,No,56.887,"Apr 02, 2024",US,24,Personal Finance Templates,1
