"Title","Shop","6mo Trend","6mo Revenue","6mo Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
Ultimate Finance Dashboard: Annual Budget Spreadsheet for Google Sheets (Digital Download),AbbyOrganizes,+16%,$36.949,1.540,6.5,$24,"Jun 5, 2025",177,1.076,45.186,download,4.9,90,N/A,13,No,No,No,N/A,Yes,16,2007_2009,i_did,No,8.244,"Jun 05, 2025",US,13,Personal Finance Templates,6
The Ultimate Budget Spreadsheet Monthly Budget Financial Dashboard Debt Calculator Sinking Funds Google Sheets Budget Tracker - Cool Green,PressReset,0%,$779,27,3.4,$29,"Sep 29, 2023",13,69,3.419,download,4.8,138,3,13,No,No,No,N/A,Yes,7,2006_2009,i_did,No,2.658,"Feb 27, 2022",US,33,Personal Finance Templates,0
Ultimate Finance Dashboard: Annual Budget Spreadsheet 2026 for Google Sheets (Digital Download),AllGoodTemplate,0%,$0,18,23.3,$5,"Dec 29, 2025",1,2,79,download,1.0,95,-1,8,No,No,No,N/A,No,7,2007_2009,i_did,No,129,"Oct 13, 2024",CA,6,Personal Finance Templates,0
"Best Trading Journal, Trade Tracker Spreadsheet, Investment Portfolio Dashboard, Google Sheets Template",TheVipSeller,0%,$120,3,5.1,$40,"May 7, 2026",1,7,59,download,5.0,103,-1,13,No,No,No,N/A,Yes,209,2020_2026,i_did,No,1.342,"Feb 12, 2025",GB,2,Personal Finance Templates,0
"Finance Planner, Sinking Funds Tracker Spreadsheet for Google Sheets and Excel, Ultimate Savings Tracker Dashboard,  Personal Finance",TrackerPro,0%,$0,0,5.0,$7,"Feb 4, 2023",1,11,256,download,4.0,133,-1,13,No,No,No,N/A,Yes,2.615,2007_2009,i_did,No,18.267,"Dec 24, 2022",US,41,Personal Finance Templates,2
"Ultimate Savings & Debt Budget Spreadsheet Excel, Budget Planner, Personal Finance Tracker, Money Management Tool, Financial Dashboard",SpreadWiseCo,0%,$0,0,3.6,$22,"May 22, 2025",1,10,285,download,1.0,134,-1,13,No,No,No,N/A,Yes,18,2020_2026,i_did,No,1.075,"May 29, 2023",US,13,Personal Finance Templates,0
"Ultimate Annual Budget Spreadsheet, Monthly Budget Planner Bill Tracker Debt Calculator Savings Tracker, Financial Dashboard 50 30 20 Budget",MarethicDigital,0%,$0,0,3.1,$9,"Jun 28, 2025",0,5,325,download,0.0,140,-1,13,No,No,No,N/A,No,46,2007_2009,i_did,No,1.254,"Nov 03, 2024",ID,12,Personal Finance Templates,0
"Notion Finance Tracker | Notion Budget, Notion Dashboard, Ultimate Digital Finance Planner, Income Tracker, Personal Finance",ViePlanners,0%,$0,0,2.5,$11,"Nov 20, 2025",0,4,161,download,0.0,124,-1,12,No,No,No,N/A,Yes,6,2007_2009,i_did,No,5.537,"May 06, 2022",LT,8,Personal Finance Templates,0
"Ultimate Monthly Budget Google Sheets Spreadsheet, Financial Dashboard, Budget by Paycheck Template, Personal Finance Organizer",MarriedMommy,0%,$0,0,2.5,$11,"Nov 27, 2021",1,17,432,download,5.0,127,-1,13,No,No,No,N/A,Yes,83,2006_2009,i_did,No,3.736,"Apr 13, 2021",CA,55,Personal Finance Templates,0
"Ultimate Annual Budget Spreadsheet, Monthly Custom Google Sheet Editable, Personal Finance Dashboard, Savings, Debt, Tax Log, Bank Tracker",PlannerMindful,0%,$0,0,10.5,$9,"Mar 3, 2022",1,9,118,download,5.0,138,-1,13,No,No,No,N/A,Yes,44,2006_2009,i_did,No,7.012,"Jul 20, 2020",GB,52,Personal Finance Templates,0
