"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
"Productivity Bundle for reMarkable Paper Pro: 1900+ Items, 2026 Planner, Stickers, (Digital Download)",DesignersKitCo,+100%,$4.035,54,5.4,$74,"Nov 7, 2025",20,101,5.041,download,4.7,101,-1,13,No,No,No,N/A,No,307,2007_2009,i_did,No,23.060,"Nov 01, 2022",CZ,8,Planner Templates,4
"Construction Project Tracker Excel Template | Gantt Chart, Kanban Board, Job Schedule Calendar Planner",MightyTemplate,0%,$3.876,60,1.6,$65,"Feb 2, 2025",7,163,8.669,download,4.3,102,3,13,No,No,No,N/A,Yes,9,2007_2009,i_did,No,2.763,"Oct 15, 2022",US,17,Templates,0
"600 Page Canva Wedding Planner Template Bundle, Wedding Checklist, Engagement Party Binder,  Wedding Itinerary, Wedding Day Binder",Eventovias,-25%,$3.713,41,6.0,$90,"Aug 19, 2024",462,3.691,106.337,download,4.8,130,6,13,No,No,No,N/A,Yes,263,2007_2009,i_did,Yes,13.984,"Jun 10, 2024",HR,22,Templates,119
"The Ultimate 160 Page Wedding Day Binder Template, Wedding Day Coordination, Wedding Day Information,Wedding Itinerary,Wedding Planner,Canva",tinacreativeco,-15%,$3.705,263,6.6,$14,"Oct 17, 2023",842,5.109,146.598,download,4.9,140,36,13,No,No,No,N/A,Yes,145,2020_2026,i_did,No,92.837,"May 13, 2022",CA,32,Templates,15
READING JOURNAL BUNDLE - Printable Journal Pages - Digital Planner Pages - A5 & A4 Size - Value Pack - 28 Pages - Dots and No Dots,LittleBirdieCanada,+18%,$3.693,238,4.8,$16,"Oct 18, 2024",343,2.858,131.662,download,4.9,130,3,13,No,No,No,N/A,No,983,2007_2009,i_did,No,407.126,"Jan 29, 2023",CA,20,Planner Templates,15
Showit Website Template For Photographer | Modern Showit Template | Luxury Designer Website Template | Wedding Photography Website,CotswoldDesignsStore,0%,$3.548,18,1.6,$194,"Nov 4, 2024",3,148,3.545,download,5.0,130,-1,13,No,No,No,N/A,Yes,19,2007_2009,i_did,No,1.044,"Sep 05, 2024",GB,20,Website Templates,1
Squarespace 7.1 Creative Studio Website Template | Portfolio & Online Store Website | Editorial Retro Design for Designers and Photographers,AlicoArtStudio,0%,$3.529,8,2.5,$440,"Dec 15, 2025",1,17,324,download,5.0,140,3,12,No,Yes,No,N/A,Yes,332,2007_2009,i_did,No,2.246,"Mar 25, 2021",TR,7,Social Media Templates,1
"27 Gallon Tote Rack Plans, Tote Garage Storage Shelves, Organization Storage Plans, Basement Organizer, Lowes and Sams Club Totes Bag Holder",MyJewelyCrafts,+18%,$3.444,327,0.5,$11,"Jul 4, 2024",290,1.948,925.932,download,4.9,140,3,13,No,No,No,N/A,Yes,69,2007_2009,i_did,No,9.543,"Mar 04, 2024",US,24,Patterns & Blueprints,34
12 Months of Journal Bundles - Pre-Coloured - PRINTABLE Journal Pages - Digital Planner Pages - A5 & A4 Size - Color - Digital Download,LittleBirdieCanada,+50%,$3.254,110,1.8,$30,"Dec 1, 2025",68,921,69.825,download,4.8,135,N/A,13,No,No,No,N/A,No,983,2007_2009,i_did,No,407.126,"Jan 29, 2023",CA,7,Planner Templates,3
"Ultimate Wedding Planning Binder Template, Customizable Canva Template, Printable Wedding Planner, Day Of Binder,Itinerary Planner Checklist",SkylerAnneOlson,0%,$3.167,55,3.3,$58,"Jul 8, 2023",303,3.026,99.800,download,4.9,140,1,13,No,No,No,N/A,Yes,53,2020_2026,i_did,Yes,16.566,"Jul 06, 2023",US,36,Templates,11
"Ultimate Wedding Planning Binder Template | Classic Theme, Customizable Canva Template, Printable Wedding Planner & Day Of Binder, Checklist",SkylerAnneOlson,+400%,$3.167,55,2.6,$58,"Jul 29, 2024",79,994,32.685,download,4.7,140,-1,13,No,No,No,N/A,Yes,53,2007_2009,i_did,Yes,16.566,"Jul 06, 2023",US,23,Templates,3
Reading Journal Digital Planner for iPad & Android Gift for Book Lover Reading Log Record Reviews Track Goals Notability GoodNotes Planner,LetsPlanPlanners,+67%,$3.122,179,1.9,$17,"Jan 31, 2024",484,9.054,227.849,download,4.8,138,1,13,No,No,No,N/A,Yes,350,2007_2009,i_did,No,50.791,"Jul 08, 2021",US,29,Journals & Notebooks,30
"All-in-One Digital Planner 2026, 2027, 2028 Digital Planner, Digital Journal, Digital Goodnotes Template, Weekly, Daily Planner, Notability",phenixdigital,-7%,$3.056,772,3.3,$4,"Sep 22, 2024",3.347,20.725,1.088.490,download,4.7,139,2,13,No,No,No,N/A,Yes,56,2007_2009,i_did,No,102.043,"Dec 24, 2020",IN,21,Planner Templates,20
"1500+ Procreate Clothing Brushes | Streetwear Mockups Designer Brush Set bundle | Stitches, Chains, Textures, Zippers, tech pack template",UrbanDistro,-37%,$2.963,63,4.8,$47,"Mar 23, 2026",25,203,6.555,download,5.0,137,4,13,No,No,No,N/A,Yes,58,2020_2026,i_did,No,9.183,"Sep 03, 2023",GB,3,Digital,2
ADHD Life Planner Google Sheets Excel Daily Planner Budget Tracker Habit Tracker Productivity Spreadsheet Monthly Weekly Calendar Routine,HeyMorning,0%,$2.922,183,1.6,$16,"Feb 22, 2026",36,1.467,40.329,download,4.7,137,N/A,13,No,No,No,N/A,No,136,2020_2026,i_did,No,56.594,"Apr 02, 2024",US,4,Planner Templates,2
"Digital Planner Bundle: 2026 2027 2028 & Undated, All-in-One Digital Planner for iPad and Tablets, Goodnotes Planner, Aesthetic Planner",TheMAMdesign,+150%,$2.849,95,2.3,$30,"Dec 22, 2024",68,1.481,55.809,download,4.7,135,N/A,13,No,No,No,N/A,Yes,46,2007_2009,i_did,No,18.364,"Mar 10, 2017",US,18,Planner Templates,3
"Ultimate Digital Planner Bundle, Goodnotes iPad Templates, Notability, Android, Journal, Daily, Weekly, Monthly Planners, Stickers & Inserts",PlanRightCo,+300%,$2.771,69,5.0,$40,"Feb 22, 2025",129,1.305,44.481,download,4.8,140,-1,13,No,No,No,N/A,Yes,320,2007_2009,i_did,No,85.148,"Nov 05, 2021",US,16,Planner Templates,8
Ultimate Wedding Planner Bundle: Google Sheets & Canva Templates Digital Download,ByHeidiGB,+33%,$2.700,285,6.0,$9,"Aug 12, 2025",161,540,47.736,download,4.8,81,N/A,13,No,No,No,N/A,Yes,821,2007_2009,i_did,No,13.391,"Nov 07, 2024",GB,11,Templates,177
"400 Page Canva Wedding Planner Template Bundle, Wedding Planner,Wedding Itinerary,Wedding Planning Book,Wedding Planning Checklist,Binder",tinacreativeco,+200%,$2.662,103,4.6,$26,"Sep 11, 2023",863,6.923,214.801,download,4.9,137,34,13,No,No,No,N/A,Yes,145,2007_2009,i_did,No,92.837,"May 13, 2022",CA,34,Templates,15
